SNO,Fault URN,Model(s),Severity,What It Means,Recommended Action,POA,CLI checks
1,acb:station-thermal-derate,"CPE250, CPE280, CP6000, CP800",Major,Station reducing output power due to high internal temp — self-protecting by limiting charging speed.,"Check cooling system (fans, coolant, HEX). Check for obstructions.",,
2,acb:over-temp,"CPE250, CPE280, CP6000, CP800",Major,AC Board temp exceeded safe threshold. General overheating.,"Check ventilation, ambient temp, cooling components. Power cycle.",,
3,acb:cpu-over-temp,"CPE250, CPE280, CP6000, CP800",Major,ACB CPU overheating. Possible cooling failure or excessive load.,Check cooling. Power cycle. Replace ACB if persists.,,
4,acb:port-over-temp,"CPE250, CPE280, CP6000, CP800",Major,Port's AC Board section exceeded 95°C.,"Check head unit seating, blindmate connection. Replace power plate if persists.",,
5,acb:port-power-fault,"CPE250, CPE280, CP6000, CP800",Critical,No power detected to a port. RCCB tripped or voltage too low.,"Confirm jumpers for single circuit. Check wiring. For dual circuit, check breaker. Replace ACB if persists.",,
6,acb:not-operational,"CPE250, CPE280, CP6000, CP800",Critical,ACB not operational. May be temporary during FW update.,Wait 5 min if FW update in progress. Reboot. Contact engineering if doesn't recover.,,
7,acb:firmware-failed,"CPE250, CPE280, CP6000, CP800",Critical,ACB firmware initialization failure.,Check ACB menu in chassis-shell. Update SW via NOS. Power cycle. Replace ACB if persists.,,
8,acb:thread-error,"CPE250, CPE280, CP6000, CP800",Critical,Internal thread error in ACB firmware.,Power cycle. Replace ACB if persists.,,
9,acb:stack-overflow,"CPE250, CPE280, CP6000, CP800",Critical,ACB firmware stack overflow — memory corruption.,Power cycle. Replace ACB if persists. Escalate to engineering.,,
10,acb:initialization-error,"CPE250, CPE280, CP6000, CP800",Critical,ACB failed to initialize during startup.,Power cycle. Update firmware or replace ACB if persists.,,
11,acb:adc-error,"CPE250, CPE280, CP800 ⚠️ NOT on CP6000",Major,ADC error. Voltage/current readings may be unreliable.,Power cycle. Replace ACB if persists.,,
